"P_000736","P_000737","P_000646","P_000647","P_000648","P_001886","P_001887","P_002539","P_002540","P_002521","P_002522","P_002547","P_002548","P_000733","P_002440","P_000687","P_000690","P_000691","P_000721","P_000720","P_000744","P_000745","P_000753","P_002441","P_000500","P_000501","VAL_0","VAL_1","VAL_2","VAL_3"
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5317",JUROS DE MORA P/ATRASO REC. ISS PRÓPRIO - EXERCÍCIO ANTERIOR - NFS-E,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Maio,5,"11145112",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,4959.06,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2223",TAXA DE LICENÇA DE FUNCIONAMENTO - DÍVIDA ATIVA ADMINISTRATIVA,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Maio,5,"11210103","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,36261.53,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2115",TAXA DE LIMPEZA PÚBLICA - PARCELAMENTO ADMINISTRATIVO,"1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122010",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,"112201",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Junho,6,"11220101",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,391.81,1306.03,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5531",JUROS SOBRE TAXA UTIL. ÁREA DOMÍNIO PÚBLICO - DÍVIDA ATIVA,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Junho,6,"11210104","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA - MULTAS E JUROS","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,189.79,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6022",RESTITUIÇÃO DE PESSOAL CEDIDO - EXERCÍCIO ATUAL,"1922",RESTITUIÇÕES,"1922990",OUTRAS RESTITUIÇÕES,"192299",OUTRAS RESTITUIÇÕES,"INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS","2",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Junho,6,"19229901",OUTRAS RESTITUIÇÕES - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,720072.09,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1344",ISS FONTE EX. ANTERIOR - NFS-E,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Maio,5,"11145111",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,11287.12,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6449",COMPLEMENTO FUNDEB VALOR ALUNO_ANO POR RESULTADOS - VAAR,"1715",TRANSF. REC. COMPL. UNIÃO AO FUNDO MANUT. E DES. EDUC. BÁSICA E VALORIZ. PROFIS. DA EDUC. - FUNDEB,"1715520",TRANSFERÊNCIAS DE RECURSOS DE COMPLEMENTAÇÃO DA UNIÃO AO FUNDEB - VAAR,"171552",TRANSFERÊNCIAS DE RECURSOS DE COMPLEMENTAÇÃO DA UNIÃO AO FUNDEB - VAAR,TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES,"1",2024,"543",TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VAAR,Maio,5,"17155201",TRANSFERÊNCIAS DE RECURSOS DE COMPLEMENTAÇÃO DA UNIÃO AO FUNDEB - VAAR - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,1864602.72,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2296",TAXA DE LICENÇA VIGILÂNCIA SANITÁRIA - PARCELAMENTO DÍVIDA ATIVA ADMINISTRATIVA - FT 501,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121500",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,"112150",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,TAXAS,"2",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Agosto,8,"11215003",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA - DÍVIDA ATIVA,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,20247.21,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2302",TAXA DE LIMPEZA PÚBLICA - PARCELAMENTO DÍVIDA ATIVA ADMINISTRATIVA - FT 501,"1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122010",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,"112201",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,TAXAS,"2",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Agosto,8,"11220103",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - DÍVIDA ATIVA,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,9685.63,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6024",RESTITUIÇÃO DE DESPESAS DE PESSOAL - EXERCÍCIO ATUAL,"1922",RESTITUIÇÕES,"1922990",OUTRAS RESTITUIÇÕES,"192299",OUTRAS RESTITUIÇÕES,"INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS","2",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Julho,7,"19229901",OUTRAS RESTITUIÇÕES - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,2977.2,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6223",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - FIC,"1321",JUROS E CORREÇÕES MONETÁRIAS,"1321010",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,"132101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,VALORES MOBILIÁRIOS,"2",2024,"749",OUTRAS VINCULAÇÕES DE TRANSFERÊNCIAS,Julho,7,"13210101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL,RECEITA PATRIMONIAL,"3","620200",FUNDO DE INCENTIVO À CULTURA - FIC,,0,492.33,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"3226",TAXA DE ILUMINAÇÃO PÚBLICA - PARCELAMENTO DÍVIDA ATIVA ADMINISTRATIVA - FT 501,"1241",CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,"1241500",CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,"124150",CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA,"4",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Agosto,8,"12415003",CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - DÍVIDA ATIVA,CONTRIBUIÇÕES,"2","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,0.94,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5515",JUROS SOBRE TAXA DE VIGILÂNCIA SANITÁRIA - EXERCÍCIO ANTERIOR,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121500",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,"112150",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,TAXAS,"2",2024,"659",OUTROS RECURSOS VINCULADOS À SAÚDE,Setembro,9,"11215002",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA - MULTAS E JUROS DE MORA,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,5691.94,18973.17,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1345",ISS - FONTE DSR-E - EXERCÍCIO,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Setembro,9,"11145111",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,10760658.97,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"4530",MULTAS SOBRE TAXA POR UTILIZ. DE ÁREA DE DOMÍNIO PÚBLICO - EXERCÍCIO ANTERIOR,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Setembro,9,"11210102","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - MULTAS E JUROS","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,60.84,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6303",RECEITAS DE TALÕES DE ZONA AZUL - CTTU,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Outubro,10,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","640900",AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE - CTTU,,0,740160.06,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9456",AUTORIZ. SEMESTRAL PERMAN. SEPULTADO - CEMITÉRIO STO. AMARO - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Janeiro,1,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,553.22,10234.57,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9472",ABERT./ FECHAMENTO OSSUÁRIO P/ INSPEÇÃO - PARQUE DAS FLORES - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Janeiro,1,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,69.16,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9350",TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS - FT 669 - FMCA,"1741",TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS,"1741990",OUTRAS TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS,"174199",OUTRAS TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS,TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS,"4",2024,"669",OUTROS RECURSOS VINCULADOS À ASSISTÊNCIA SOCIAL,Janeiro,1,"17419901",OUTRAS TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","590300",FUNDO MUNICIPAL DA CRIANÇA E DO ADOLESCENTE - FMCA,,0,32476.91,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6444",TRANSFERÊNCIA DO FUNDEB - ITR,"1751",TRANSF. REC. FUNDO DE MANUT. E DES. DA EDUC. BÁSICA E VALORIZ. DOS PROFISSIONAIS DA EDUC. - FUNDEB,"1751500",TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,"175150",TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,TRANSFERÊNCIAS DE OUTRAS INSTITUIÇÕES PÚBLICAS,"5",2024,"540",TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,Janeiro,1,"17515001",TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,3282.13,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6280",COTA-PARTE DO FUNDO ESPECIAL DO PETRÓLEO - FEP,"1712",TRANSFERÊNCIAS DAS COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS,"1712524",COTA-PARTE DO FUNDO ESPECIAL DO PETRÓLEO - FEP,"171252",COTA-PARTE DA COMPENSAÇÃO FINANCEIRA PELA PRODUÇÃO DE PETRÓLEO,TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES,"1",2024,"720",TRANSF. DA UNIÃO REF. ÀS PARTICIPAÇÕES NA EXPLORAÇÃO DE PETRÓLEO E GÁS NATURAL DESTINADAS AO FEP - LEI N° 9.478/1997,Fevereiro,2,"17125241",COTA-PARTE DO FUNDO ESPECIAL DO PETRÓLEO - FEP - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,1734591.49,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2143",TRSD - DÍVIDA ATIVA ADMINISTRATIVA,"1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122010",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,"112201",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Abril,4,"11220103",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - DÍVIDA ATIVA,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,222415.43,741384.75,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9445",UTILIZAÇÃO/ RESERVA DE VELÓRIO POPULAR - CEMITÉRIO TEJIPIÓ - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Abril,4,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,265.61,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5529",JUROS SOBRE TAXA UTIL. ÁREA DOMÍNIO PÚBLICO - EXERCÍCIO,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Abril,4,"11210102","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - MULTAS E JUROS","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,5.83,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9427",AUTORIZ. P/ INSTAL. GRADE/ LÁPIDE/ CANTEIRO - PARQUE DAS FLORES - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Março,3,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,69.16,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2246",TAXA LIC P/INST OU UTIL DE MAQ MOT ETC - PARCELAMENTO DÍVIDA ATIVA ADMINISTRATIVA,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Junho,6,"11210103","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,420.19,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"4311",MULTA REGULAMENTAR DO SISTEMA MUNICIPAL DE TÁXI,"1911","MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS","1911010",MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA,"191101",MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA,"MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS","1",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Julho,7,"19110101",MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,51049.9,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6190",RECEITA DE APLIC. FINANCEIRA - FT 701 - FMSAN,"1321",JUROS E CORREÇÕES MONETÁRIAS,"1321010",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,"132101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,VALORES MOBILIÁRIOS,"2",2024,"701",OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - ESTADOS,Junho,6,"13210101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL,RECEITA PATRIMONIAL,"3","530200",FUNDO MUNICIPAL DE SANEAMENTO - FMSAN,,0,72416.47,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"4242",RECEITA COM MULTAS E JUROS DE MORA DA DÍVIDA ATIVA - IVVC,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114520",IMPOSTO SOBRE VENDAS A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS (IVVC),"111452",IMPOSTO SOBRE VENDAS A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS (IVVC),IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Setembro,9,"11145204",IMPOSTO SOBRE VENDAS A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS (IVVC) - DÍVIDA ATIVA - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,19249.2,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1376",ISS FONTE CONFISSÃO - PARCELAMENTO DÍVIDA ATIVA JUDICIAL,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Setembro,9,"11145113",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - DÍVIDA ATIVA,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,22619.63,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"4932",MULTA POR INFRAÇÃO DMU - ADMINISTRATIVA,"1911","MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS","1911010",MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA,"191101",MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA,"MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS","1",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Setembro,9,"19110101",MULTAS PREVISTAS EM LEGISLAÇÃO ESPECÍFICA - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,26832.97,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2115",TAXA DE LIMPEZA PÚBLICA - PARCELAMENTO ADMINISTRATIVO,"1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122530",TAXA PELA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA PÚBLICA E MANEJO DE RESÍDUOS SÓLIDOS,"112253",TAXA PELA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA PÚBLICA E MANEJO DE RESÍDUOS SÓLIDOS,TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Outubro,10,"11225301",TAXA PELA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA PÚBLICA E MANEJO DE RESÍDUOS SÓLIDOS - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,787.12,2623.76,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6308",REC. DE TRANSF. DO FNDE - SALÁRIO EDUCAÇÃO - FT 550,"1714",TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DO DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,"1714500",TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO,"171450",TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO,TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES,"1",2024,"550",TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,Março,3,"17145001",TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,3690298.6,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"4131",MULTA POR ATRASO ISS - EXERCÍCIO,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Maio,5,"11145112",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,17274.77,
